index,url,judul,tanggal,total_entities,date_count,date_entities,time_count,time_entities,location_count,location_entities,person_count,person_entities,organization_count,organization_entities,crimetype_count,crimetype_entities
0,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-7526252/4-anak-di-bawah-umur-tersangka-pembunuhan-di-palembang-ini-kata-pengamat,"4 Anak di Bawah Umur Tersangka Pembunuhan di Palembang, Ini Kata Pengamat",2024-09-05 20:30:00,8,0,,0,,1,ĠKub uran ĠCina ĠPalembang,3,ĠAA; ĠDr ĠAzwar ĠAgus; ĠAzwar,1,ĠUniversitas ĠTaman ĠSiswa ĠPalembang,3,pembunuhan; pemerkosaan; pembunuhan
1,https://www.detik.com/jatim/hukum-dan-kriminal/d-7526567/26-tersangka-dibekuk-selama-3-bulan-terakhir-di-kota-probolinggo,26 Tersangka Dibekuk Selama 3 Bulan Terakhir di Kota Probolinggo,2024-09-05 18:38:00,16,0,,0,,1,ĠKota ĠProbolinggo,5,ĠAKBP ĠOki ĠA had ian ĠPurw ono; ĠOki; ĠOki; ĠOki; ĠOki,0,,10,pembunuhan; kasus sabu; pembunuhan; penggelapan; korupsi dana desa; korupsi; peredaran obat-obatan terlarang; kasus sabu; peredaran pil koplo; korupsi
2,https://www.detik.com/jatim/hukum-dan-kriminal/d-7524973/kriminalitas-surabaya-marak-pengamat-sebut-penanganannya-tertatih-tatih,"Kriminalitas Surabaya Marak, Pengamat Sebut Penanganannya Tertatih-tatih",2024-09-05 02:01:00,12,0,,0,,2,ĠSurabaya; ĠSurabaya,6,ĠProf .D r ĠS olah udin; ĠS olah udin; ĠS olah udin; ĠS olah udin; ĠS olah udin; ĠS olah udin,2,ĠAhli Ġpidana ĠUniversitas ĠBhayangkara Ġ( U bara ) ĠSurabaya; Ġdetik Jatim,2,gangster; begal
3,https://www.detik.com/sumut/hukum-dan-kriminal/d-7524497/pekerja-kafe-disiram-air-keras-hingga-wajah-berasap-pelaku-ditangkap,"Pekerja Kafe Disiram Air Keras hingga Wajah 'Berasap', Pelaku Ditangkap",2024-09-04 21:40:00,12,0,,0,,4,ĠCengkareng; ĠCengkareng; ĠCengkareng ĠJakarta ĠBarat; ĠMapolsek ĠCengkareng,6,ĠMAS; ĠA; ĠKombes ĠM ĠSyah d udd i; ĠSyah d udd i; ĠKompol ĠStan l ly ĠSos el isa; ĠStan l ly,1,Ġdetik News,1,penyiraman air keras
4,https://www.detik.com/sumut/hukum-dan-kriminal/d-7521470/hilang-nyawa-pria-di-simalungun-gegara-rebutan-mikrofon-di-warung-tuak,Hilang Nyawa Pria di Simalungun gegara Rebutan Mikrofon di Warung Tuak,2024-09-03 09:03:00,7,0,,0,,1,ĠDusun ĠIII ĠNag ori ĠB ahl iran ĠSib or na ĠKecamatan ĠPan ei ĠKabupaten ĠSimalungun,6,ĠHermansyah ĠP ohan; ĠZ S; ĠAKP ĠGh ulam ĠYanuar ĠLuthfi; Sumut; ĠZ S; ĠGh ulam,0,,0,
5,https://www.detik.com/sumut/hukum-dan-kriminal/d-7521480/utang-rp-3-juta-bikin-pegawai-akper-tewas-di-tangan-pasangan-sejenis,Utang Rp 3 Juta Bikin Pegawai Akper Tewas di Tangan Pasangan Sejenis,2024-09-03 08:01:00,25,0,,0,,6,ĠTar utung; ĠAk per ĠTar utung; ĠJalan ĠKolonel ĠLiberty ĠM alau ĠKecamatan ĠTar utung; Ġpendidikan; ĠBatam; ĠAk per,12,ĠMon ika ĠH uta uruk; ĠB SH; ĠAKBP ĠEr nis ĠSi injak; ĠAKBP ĠEr nis ĠSit injak; ĠEr nis; ĠEr nis; ĠAiptu ĠWal pon ĠBar ing bing; ĠWal pon; ĠAKBP ĠEr nis ĠSit injak; ĠEr nis; ĠEr nis; ĠB SH,4,Ġakademi Ġkep erawatan Ak per; utung; ĠAk per ĠTar utung; Ġyayasan ĠAk per,3,pembunuhan; pembunuhan; pembunuhan
6,https://www.detik.com/sumut/hukum-dan-kriminal/d-7521344/gegara-rebutan-mikrofon-di-warung-tuak-pria-simalungun-tewas-ditikam,"Gegara Rebutan Mikrofon di Warung Tuak, Pria Simalungun Tewas Ditikam",2024-09-02 21:00:00,8,0,,0,,2,ĠKabupaten ĠSimalungun ĠSumatera ĠUtara Sumut; ĠDusun ĠIII ĠNag ori ĠB ahl iran ĠSib or na ĠKecamatan ĠPan ei,4,ĠHermansyah ĠP ohan; ĠZ S; ĠAKP ĠGh ulam ĠYanuar ĠLuthfi; ĠGh ulam,1,Ġdetik Sumut,1,penikaman
7,https://www.detik.com/sumut/hukum-dan-kriminal/d-7519375/polisi-tangkap-kawanan-pencuri-spesialis-bongkar-warung-di-asahan-1-ditembak,"Polisi Tangkap Kawanan Pencuri Spesialis Bongkar Warung di Asahan, 1 Ditembak",2024-09-01 19:00:00,14,0,,0,,1,ĠKabupaten ĠAsahan ĠSumatera ĠUtara Sumatera ĠUtara,7,ĠIpda ĠSup angat; ĠF atar ĠSimanjuntak; ĠF atar; ĠY ovie ĠWibowo ĠSaid ĠAji; ĠN ando ĠPard ede; ĠSup angat; ĠSup angat,0,,6,pencurian; pencurian spesialis bongkar warung; pencurian; pencurian; pencurian; penggelapan
8,https://www.detik.com/jabar/hukum-dan-kriminal/d-7519149/anehnya-gani-ngaku-dikejar-hantu-hingga-tega-bacok-tetangga,"Anehnya Gani, Ngaku Dikejar Hantu hingga Tega Bacok Tetangga",2024-09-01 15:31:00,42,0,,0,,5,ĠKelurahan ĠTug ura ja ĠKecamatan ĠCih ide ung ĠKota ĠTasikmalaya; ĠJalan ĠH Z ĠMustofa ĠKota ĠTasikmalaya; Ġgang ĠGunung ĠGad ong; yana; Ġhijau,37,F ath urahman ĠAl ĠGani; ĠGani; ĠGani; ĠGani; ĠGani; ĠGani; ĠGani; ĠGani; ĠDedi; ĠPri yat na; ĠG andi; ĠGani; ĠGani; ĠPri yat na; ĠG andi; ĠGani; ĠPri yat na; ĠGani; ĠPri yat na; ĠPri yat na; ĠFath urahman; ĠFath urahman; ĠPri yat na; ĠG andi ĠFath urahman; ĠPri yat na; ĠG andi; ĠGani; ĠPri yat na ĠPri yat na; ĠGani; ĠG andi; ĠGani; ĠPri yat na; ĠGani; ĠGani; ĠAKP ĠEr ust iana; ĠEr ust iana; ĠEr ust iana,0,,0,
9,https://www.detik.com/sumut/hukum-dan-kriminal/d-7517846/mahasiswa-pkl-di-kantor-bawaslu-lampung-ditembak-pelaku-ditangkap,"Mahasiswa PKL di Kantor Bawaslu Lampung Ditembak, Pelaku Ditangkap",2024-08-31 12:30:00,16,0,,0,,10,ĠKantor ĠBawaslu ĠLampu; ĠMapolsek; Ġkantor ĠBawaslu ĠLampung; ĠDesa ĠRang ai ĠKabupaten ĠLampung ĠSelatan; ĠRang ai ĠLampung ĠSelatan; ĠKantor ĠBawaslu ĠLampung; ĠHotel ĠAs oka ĠBandar ĠLampung; Ġdua Ġkantor ĠBawaslu; Ġlantai Ġ 2 Ġkantor ĠBawaslu ĠLampung; Ġkantor ĠBawaslu,4,ĠIpda ĠM ua zam; ĠM ua zam; ĠSandi ĠPol anda; ĠKombes ĠUmi ĠFad illah ĠAst utik,0,,2,penembakan; penembakan
